Takt/Zug|Zugnummer|Zugname|Zugtyp|Aktiv|Gruppenbearbeitung|Besteller|Betreiber|Traktionist|Klasse|Zugcharakteristik|Start (Kürzel)|Start|Ziel (Kürzel)|Ziel|Abfahrt|Plan-Ankunft|Real-Ankunft|Von Zug|Auf Zug|Baubetriebsstatus|Statusbezeichnung|VT|Gültig von|Gültig bis|Berechnet|Simulation|Gefiltert|Fehler
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190351|190351|190351|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|04:16:39|04:23:59|04:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190353|190353|190353|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|06:16:39|06:23:59|06:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190355|190355|190355|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|08:16:39|08:23:59|08:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190357|190357|190357|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|10:16:39|10:23:59|10:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190359|190359|190359|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|12:16:39|12:23:59|12:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190361|190361|190361|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|14:16:39|14:23:59|14:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190363|190363|190363|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|16:16:39|16:23:59|16:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190365|190365|190365|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|18:16:39|18:23:59|18:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190367|190367|190367|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|20:16:39|20:23:59|20:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück\RE Diesel 190369|190369|190369|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FF|Frankfurt(M) Hbf|FSP S|Ffm Stadion Süd|22:16:39|22:23:59|22:23:59|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E04 Kassel-Wilhelmshöhe - Korbach Süd|||||N|||||||||||||||||||||||
\EXPRESS-D\E04 Kassel-Wilhelmshöhe - Korbach Süd\Takt 1|||||N|||||||||||||||||||||||
\EXPRESS-D\E04 Kassel-Wilhelmshöhe - Korbach Süd\Takt 1\hin|||||N|||||||||||||||||||||||
\EXPRESS-D\E04 Kassel-Wilhelmshöhe - Korbach Süd\Takt 1\hin\RE Diesel 170402|170402|170402|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FKW|Ksl-Wilhelmshöhe|FHEH|Ahnatal-Heckersh|06:44:56|06:53:00|06:53:11|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
